,Name,Price,Change,MarketCap,Volume24,Supply
0,Ethereum USD,"1,979.04",+72.03,230.413B,20.048B,116.427M
1,BinanceCoin USD,305.02,+20.34,46.801B,2.248B,153.433M
2,Dogecoin USD,0.279227,+0.051540,36.346B,4.383B,130.167B
3,USDCoin USD,1.0003,-0.0004,25.546B,1.998B,25.537B
4,HEX USD,0.079493,+0.003611,13.785B,31.812M,173.411B
5,BitcoinCash USD,487.32,+15.81,9.148B,1.413B,18.773M
6,Solana USD,32.24,+3.40,8.788B,604.365M,272.637M
7,MaticNetwork USD,1.2011,+0.0320,7.559B,866.381M,6.293B
8,Stellar USD,0.265949,+0.015545,6.167B,475.814M,23.189B
9,EthereumClassic USD,44.06,+3.87,5.125B,1.882B,116.313M
10,InternetComputer USD,34.31,-1.77,4.627B,213.715M,134.866M
11,Monero USD,213.22,+6.39,3.825B,242.953M,17.939M
