,title,company,Skills,Job Type
0,Financial Analyst,Central,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
1,Financial Analyst,Marina South,"['Accounting/Finance', 'Corporate Finance/Investment']",Full-Time
2,Financial Planning & Analyst,"East, West","['Accounting/Finance', 'Corporate Finance/Investment']",Full-Time
3,Financial Analyst,West,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
4,Financial Analyst,West,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
5,Financial Analyst/ Senior Financial Analyst (US MNC),Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
6,Contract - Financial Analyst,Kallang,"['Accounting/Finance', 'General/Cost Accounting']",Contract
7,"Financial Analyst, MRPA - Management Reporting & Analysis",Singapore,"['Accounting/Finance', 'Banking/Financial']",Full-Time
8,Finance Reporting Analyst - Officer,Singapore,"['Accounting/Finance', 'General/Cost Accounting', 'Computer/Information Technology', 'IT-Software']",Full-Time
9,FP&A - Analyst / Senior Analyst,Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
10,Senior Analyst/Assistant Manager (FP&A) | Open to Big4,Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
11,Category Finance Analyst - Haircare,,"['Accounting/Finance', 'General/Cost Accounting']",Temporary
12,Senior Commercial Financial Analyst (FMCG),,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
13,Senior Financial Analyst - (21007787),,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
14,Finance Analyst (1 Yr Contract),Central,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
15,*NEW* Perm Financial Analyst - MNCs (Up to $6.5K),Central,"['Accounting/Finance', 'General/Cost Accounting', 'Audit & Taxation']",Full-Time
16,Senior Finance Analyst,Central,"['Accounting/Finance', 'General/Cost Accounting', 'Banking/Financial']",Full-Time
17,"Financial Analyst, SEA and Pacific",Pioneer,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
18,Business Analyst,Company Confidential,"['Accounting/Finance', 'Corporate Finance/Investment', 'Sales/Marketing', 'E-commerce']",Full-Time
19,Financial IT Analyst,Jurong East,"['Computer/Information Technology', 'IT-Network/Sys/DB Admin']",Full-Time
20,Senior Financial Analyst,West,"['Accounting/Finance', 'Audit & Taxation']",Full-Time
21,Senior Financial Analyst,Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
22,Finance Analyst,Downtown Core,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
23,Senior Financial Analyst (FP&A),Bedok,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
24,Graduate Analyst – Cognizant Consulting (Banking & Financial Services),Central,"['Sales/Marketing', 'Marketing/Business Dev', 'Accounting/Finance', 'Banking/Financial']",Full-Time
25,Senior Finance Analyst,Paya Lebar,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
26,Senior Finance Analyst,East,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
27,Finance Analyst (6 months contract),Central,"['Accounting/Finance', 'General/Cost Accounting', 'Audit & Taxation']",Contract
28,"Senior Finance Analyst (FP&A, Cost Analysis) - up $6500 - West - 6 months Renew",Central,"['Accounting/Finance', 'General/Cost Accounting', 'Full-Time']",Contract
29,8 months Regional Finance Analyst (SAP BCP) - up $6200 - East with transport,Central,"['Accounting/Finance', 'General/Cost Accounting', 'Full-Time']",Contract
30,Financial Analyst,Central,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
31,Financial Analyst,Marina South,"['Accounting/Finance', 'Corporate Finance/Investment']",Full-Time
32,Financial Analyst (FP&A),Singapore,['Accounting/Finance'],General/Cost Accounting
33,Commercial Finance Analyst,Singapore,['Accounting/Finance'],General/Cost Accounting
34,Financial Planning & Analyst,"East, West","['Accounting/Finance', 'Corporate Finance/Investment']",Full-Time
35,Financial Analyst,West,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
36,Financial Analyst,West,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
37,Financial Analyst/ Senior Financial Analyst (US MNC),Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
38,Contract - Financial Analyst,Kallang,"['Accounting/Finance', 'General/Cost Accounting']",Contract
39,"Financial Analyst, MRPA - Management Reporting & Analysis",Singapore,"['Accounting/Finance', 'Banking/Financial']",Full-Time
40,Finance Reporting Analyst - Officer,Singapore,"['Accounting/Finance', 'General/Cost Accounting', 'Computer/Information Technology', 'IT-Software']",Full-Time
41,FP&A - Analyst / Senior Analyst,Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
42,Senior Analyst/Assistant Manager (FP&A) | Open to Big4,Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
43,Category Finance Analyst - Haircare,,"['Accounting/Finance', 'General/Cost Accounting']",Temporary
44,Senior Commercial Financial Analyst (FMCG),,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
45,Senior Financial Analyst - (21007787),,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
46,Finance Analyst (1 Yr Contract),Central,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
47,Finance Analyst,Singapore,['Accounting/Finance'],General/Cost Accounting
48,*NEW* Perm Financial Analyst - MNCs (Up to $6.5K),Central,"['Accounting/Finance', 'General/Cost Accounting', 'Audit & Taxation']",Full-Time
49,Senior Finance Analyst,Central,"['Accounting/Finance', 'General/Cost Accounting', 'Banking/Financial']",Full-Time
50,"Financial Analyst, SEA and Pacific",Pioneer,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
51,Business Financial Analyst,Singapore,"['Accounting/Finance', 'Corporate Finance/Investment']",Full-Time
52,Business Analyst,Company Confidential,"['Accounting/Finance', 'Corporate Finance/Investment', 'Sales/Marketing', 'E-commerce']",Full-Time
53,Financial IT Analyst,Jurong East,"['Computer/Information Technology', 'IT-Network/Sys/DB Admin']",Full-Time
54,Senior Financial Analyst,West,"['Accounting/Finance', 'Audit & Taxation']",Full-Time
55,Senior Financial Analyst,Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
56,Finance Analyst,Downtown Core,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
57,"Senior Financial Analyst, DFIT Service Management",Singapore,['Accounting/Finance'],General/Cost Accounting
58,"Principal Financial Analyst, APAC Frontier Market",Singapore,['Accounting/Finance'],General/Cost Accounting
59,Senior Financial Analyst (FP&A),Bedok,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
60,Graduate Analyst – Cognizant Consulting (Banking & Financial Services),Central,"['Sales/Marketing', 'Marketing/Business Dev', 'Accounting/Finance', 'Banking/Financial']",Full-Time
61,Senior Finance Analyst,Paya Lebar,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
62,Senior Finance Analyst,East,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
63,Finance Analyst (6 months contract),Central,"['Accounting/Finance', 'General/Cost Accounting', 'Audit & Taxation']",Contract
64,"Senior Finance Analyst (FP&A, Cost Analysis) - up $6500 - West - 6 months Renew",Central,"['Accounting/Finance', 'General/Cost Accounting', 'Full-Time']",Contract
65,8 months Regional Finance Analyst (SAP BCP) - up $6200 - East with transport,Central,"['Accounting/Finance', 'General/Cost Accounting', 'Full-Time']",Contract
66,Regional Financial Analyst,Singapore,['Services'],Logistics/Supply Chain
67,Accountant,West,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
68,Value Stream Analyst (Manufacturing/ Pioneer),West,"['Accounting/Finance', 'General/Cost Accounting', 'Audit & Taxation']",Full-Time
69,Franchise Expense Analyst - Assistant Vice President,Singapore,"['Accounting/Finance', 'Corporate Finance/Investment', 'Banking/Financial']",Full-Time
70,8 months Finance Analyst - up $6200 - East/Immediate,Central,"['Accounting/Finance', 'General/Cost Accounting']",Contract
71,Fixed Income/ Credit Analyst,Central,"['Accounting/Finance', 'Corporate Finance/Investment']",Full-Time
72,Corporate  Financial Analyst,Singapore,"['Accounting/Finance', 'Corporate Finance/Investment']",Full-Time
73,Business Analyst (Management Reporting) 1 year contract,Central,"['Accounting/Finance', 'Banking/Financial', 'General/Cost Accounting']",Contract
74,"Financial Analyst, FP&A (Resort Operations)",Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
75,Financial Analyst,Singapore,"['Accounting/Finance', 'General/Cost Accounting', 'Computer/Information Technology', 'IT-Software']",Full-Time
76,FP&A Specialist,West,"['Accounting/Finance', 'Banking/Financial']",Full-Time
77,FP&A Analyst (6 Months contract),Jurong East,"['Accounting/Finance', 'General/Cost Accounting']",Contract
78,Finance Reporting Analyst - Officer #Citi,Singapore,"['Accounting/Finance', 'General/Cost Accounting', 'Computer/Information Technology', 'IT-Software']",Full-Time
79,Finance Analyst (Real Estate),Central,"['Accounting/Finance', 'Audit & Taxation', 'Corporate Finance/Investment']",Full-Time
80,GF - Finance Reporting Senior Analyst - AVP,East,"['Accounting/Finance', 'Banking/Financial']",Full-Time
81,Senior Financial Analyst / Asst Manager,Central,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
82,Financial Analyst (Contract),Jurong East,"['Computer/Information Technology', 'IT-Network/Sys/DB Admin']",Full-Time
83,Senior / Health Policy Analyst (Finance Policy),Singapore,"['Accounting/Finance', 'General/Cost Accounting', 'Full-Time']",Contract
84,CEO Office Analyst,Marina South,"['Education/Training', 'Training & Dev.']",Full-Time
85,Asia GCB Operations FP & A Lead Analyst - Vice President #Citi,Singapore,"['Accounting/Finance', 'Banking/Financial']",Full-Time
86,Analyst (Mgr/AVP) - Treasury Financial Control & Advisory  - (210000WE),Singapore,"['Accounting/Finance', 'Banking/Financial']",Full-Time
87,"Analyst, Financial Control",Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
88,Financial Analyst,East,"['Accounting/Finance', 'General/Cost Accounting', 'Others', 'Others']",Full-Time
89,Finance Analyst,Western Islands,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
90,Regional Financial Analyst (Pharmaceutical),Singapore,"['Others', 'Others']",Full-Time
91,Equity Research Analyst,Central,"['Accounting/Finance', 'Corporate Finance/Investment']",Full-Time
92,Finance Business Analyst (Continuous Improvement),Changi,"['Accounting/Finance', 'Banking/Financial']",Contract
