,Title,Sector,Condition,Location,Type
0,제라(주),섬유·의류·패션,"경력무관
학력무관",대구 서구,정규직
1,NR지엔씨,화학·에너지연구소·R&D,"신입 · 경력
대학교(4년)↑",경기 수원시 영통구,정규직
2,씨제이포디플렉스(주),인사·교육·노무,"경력
대학교(4년)↑",충북 청주시,정규직
3,(주)서울아카데미,초중고·특수학교학원관리·운영·상담 외,"경력무관
대학교(4년)↑",서울 강남구,정규직 · 계약직
4,(주) 더 샵,기계·기계설비생산관리·품질관리 외,"경력무관
학력무관",대구 달서구,정규직
5,(주)비에이치데이타시스템,영업기획·관리·지원고객센터·CS 외,"경력무관
대학(2,3년)↑",서울 동대문구,정규직
6,(주)맨파워코리아,사무보조·문서작성마케팅·광고·분석 외,"신입 · 경력
학력무관",서울 강남구,정규직
7,(주)엘씨드인터내셔널,마케팅·광고·분석생산관리·품질관리 외,"1 ~ 10년
학력무관",서울 강남구,정규직
8,(주)비책,동영상·편집·코덱카메라·조명·미술 외,"경력 2년↑
학력무관",서울 강남구,정규직
9,써미트리,해외영업·무역영업마케팅·광고·분석 외,"경력무관
학력무관",서울 금천구,정규직
10,머스트컬러,컨텐츠·사이트운영웹디자인 외,"신입 · 경력
학력무관",서울 중랑구,정규직
11,정진국제특허법률사무소,법률·특허·상표,"경력 1년↑
대학교(4년)↑",서울 구로구,정규직
12,(주)함샤우트글로벌,홍보·PR·사보마케팅·광고·분석 외,"신입
대학교(4년)↑",서울 마포구,정규직
13,(주)맨파워그룹코리아,물류·유통·운송,"경력무관
학력무관",인천 중구,계약직 · 아르바이트
14,(주)스마트스코어,기획·전략·경영서버·네트워크·보안 외,"경력
학력무관",서울 강남구,정규직
15,(주)파스토,물류·유통·운송,"경력무관
학력무관",경기 용인시 처인구,정규직
16,씨피시스템㈜,설계·CAD·CAM연구소·R&D,"경력 3년↑
대학교(4년)↑",부산 기장군,정규직
17,법무법인청신 경기분사무소,회계·재무·세무·IR세무·회계·CPA,"신입 · 경력
대학(2,3년)↑",경기 의왕시,정규직
18,저스트핏 대치점,레저·스포츠,"경력무관
학력무관",서울 강남구,정규직 · 파트
19,(주)중앙제이유엠피,총무·법무·사무경리·출납·결산 외,"경력무관
학력무관",서울 마포구,계약직 · 파견직
20,(주)영종웨스트클라우드,호텔·카지노·콘도,"경력무관
대학(2,3년)↑",인천 중구,정규직
21,(주)반석수학,초중고·특수학교입시·보습·속셈학원,"1 ~ 10년
대학교(4년)↑",서울 서초구,계약직
22,주식회사 마케팅모먼트,웹디자인,"경력무관
학력무관",서울 금천구,정규직
23,(주)맨파워그룹코리아,마케팅·광고·분석,"신입 · 경력
대학교(4년)↑",서울 강남구,계약직 · 파견직
24,죽산개발(주),레저·스포츠,"경력무관
학력무관",경기 안성시,정규직
25,목림상사(주),구매·자재·재고생산·제조·포장·조립,"경력무관
고졸↑",대전 대덕구,정규직
26,에이프로논술학원,입시·보습·속셈학원,"경력무관
대학교(4년)↑",서울 강남구,정규직 · 프리랜서
27,(주)커팅엣지,그래픽디자인·CG디자인기타 외,"신입 · 경력
대학(2,3년)↑",서울 강남구,정규직
28,따뜻한컴퍼니,광고·시각디자인,"신입 · 경력
대학(2,3년)↑",서울 금천구,정규직
29,하나카드(주),제품·산업디자인광고·시각디자인,"2 ~ 8년
대학교(4년)↑",서울 중구,계약직
30,주식회사 화요,홍보·PR·사보,"7 ~ 10년
대학교(4년)↑",서울 송파구,정규직
31,(주)메디젠휴먼케어,기획·전략·경영바이오·제약·식품 외,"경력 2년↑
대학교(4년)↑",서울 강남구,정규직
32,더리본(주),기획·전략·경영웨딩·행사·이벤트 외,"경력무관
학력무관",서울 강북구,정규직 · 위촉직
33,(주)유엑스스토리,웹개발응용프로그램개발 외,"신입 · 경력
학력무관",서울 금천구,정규직
